split,row,idx,word,label,glove_target,glove_context_2,glove_context_5,glove_context_10,glove_context_sentence,bert_layer_1,bert_layer_2,bert_layer_3,bert_layer_4,bert_layer_5,bert_layer_6,bert_layer_7,bert_layer_8,bert_layer_9,bert_layer_10,bert_layer_11,bert_layer_12,bert_mean_last_four
train,0,0,place,False,1.0,0.7013084708266727,0.7336756050700545,0.7228634430571893,0.7228634430571893,0.8173979091766841,0.6791365392788996,0.6287259282294827,0.5351689013740218,0.4320202256328004,0.406668246631628,0.3589043020063688,0.31796831023727923,0.2846912473044926,0.26875739956292266,0.34119126803618227,0.37042857716979183,0.31245974081221356
train,1,1,approach,False,1.0,0.5552956668188834,0.5552956668188834,0.5552956668188834,0.5552956668188834,0.8437107682768265,0.8072542160163545,0.7766144368364256,0.7662664773973171,0.7332220429138135,0.7223656855034818,0.7040066481810483,0.684452879237384,0.6860753248015344,0.6944897336174992,0.7460036172999491,0.5773800909134396,0.7149158802166611
train,2,2,run,False,1.0,0.03222893322634654,0.05729195381765646,0.05729195381765646,0.05729195381765646,0.5872035948626197,0.6254669593068592,0.5961128606158143,0.5864807804896356,0.5832952355743191,0.533900419712057,0.5278560396603926,0.5127750991264981,0.45826783203633037,0.4496261198149247,0.47372525929622933,0.15782135903985778,0.43852678152595315
train,3,3,hold,True,1.0,0.46710955203110555,0.5905971028500422,0.6188086384398599,0.6188086384398599,0.8005481741479552,0.7710490650386397,0.7288823353518081,0.6643658836497125,0.6390034307577058,0.6264789741937815,0.6623728285921321,0.6782425694300004,0.6439149809208643,0.652116760994737,0.6675955562493976,0.43208778732866115,0.6448238766282995
train,4,4,summer,True,1.0,0.7213811112558774,0.7462994940061021,0.7462994940061021,0.7462994940061021,0.6689562953989295,0.7225909954998039,0.6914817371664347,0.6828053911302636,0.684687708824644,0.6879571566274549,0.6952943543678247,0.7024007646286522,0.701264078131545,0.6886213373977806,0.6771282507980313,0.5518206797532617,0.695479653814372
train,5,5,head,True,1.0,0.5991420117640204,0.7572997354914791,0.7572997354914791,0.7572997354914791,0.6372415311640054,0.593142095495318,0.5389475950891964,0.5199166237099203,0.5348006955177216,0.5160136338115263,0.5330783028099937,0.5312292385321824,0.4722930329626365,0.3299574302156587,0.24931895135167828,0.2884951942087649,0.3484667677097156
train,6,6,meet,True,1.0,0.7255148078358074,0.7448801977726404,0.7448801977726404,0.7448801977726404,0.6850219761878066,0.7121425557374056,0.7762649608783184,0.7480406740900961,0.7488357415294483,0.7088688337113883,0.6949436814221978,0.634737656226134,0.5371744571359619,0.4269389589645567,0.41115981912229266,0.3983881683765418,0.45542729206031024
train,7,7,development,False,1.0,0.7254760346127066,0.7285718458890161,0.7422899280499463,0.7422899280499463,0.4592808240004648,0.4068124467807244,0.4273397212851579,0.40022353775796554,0.409089890687752,0.3862180977089503,0.3629425350603049,0.4003784782467457,0.3980703195327932,0.38492461583408,0.44800740689413304,0.3757805584650841,0.4034231992821359
train,8,8,narrowness,True,1.0,0.7446223992829247,0.6999232487915362,0.7284760983733829,0.7284760983733829,0.8964569118155019,0.8920692971014176,0.8701730057796111,0.8306503072998879,0.8042401134858965,0.7607894830387969,0.7590483305214906,0.7434492151644384,0.7358141821451549,0.7174955585633632,0.7487221823793979,0.7346293851805188,0.7402263634997717
train,9,9,act,True,1.0,0.688333550142143,0.6664339443503375,0.6664339443503375,0.6664339443503375,0.8286382345808764,0.6497742511493088,0.6131845586663397,0.5845979942586371,0.5938056821028203,0.5986904669055673,0.5748712089758599,0.5459955181314373,0.5130529533660168,0.5303639042313105,0.5600982310836667,0.576101074414495,0.5581067112540221
train,10,10,cover,False,1.0,0.5268662174229434,0.6223233155208931,0.6470087005488919,0.6470087005488919,0.8488234265157707,0.7882017908866829,0.6742414960344679,0.6501773814635294,0.6220926197881245,0.5685972435055224,0.5434188768986228,0.5066042763662203,0.4815701387241098,0.48411285604680315,0.5154466372707095,0.3888569811655186,0.4910087414968244
train,11,11,port,False,1.0,0.2552884643436658,0.2552884643436658,0.2552884643436658,0.2552884643436658,0.9421696704678372,0.885185556523777,0.83205081077752,0.7897542323008018,0.7630755019433247,0.7653769489363252,0.7664228913596937,0.7557309207529312,0.7390668385961441,0.7806140385620027,0.8119864914310497,0.6304792778678445,0.7826523031947801
train,12,12,fall,True,1.0,0.5969519882023451,0.5873018297216471,0.576719910845804,0.576719910845804,0.6405177524037918,0.6645713970640015,0.6646289234177123,0.6924066381168235,0.6750692577277605,0.6660469708550423,0.5849835001917507,0.586257278664869,0.5391383071152416,0.5014999055277518,0.5145423506360629,0.24930464720741283,0.4970808786529625
train,13,13,finish,True,1.0,0.6438133248270781,0.7945775121494291,0.8022855254505306,0.8022855254505306,0.9053909089919424,0.9000623357441154,0.9008425131281024,0.8920633419748693,0.8809307403634715,0.8840031854460781,0.8520527552210642,0.827968380909799,0.7769546771904573,0.7262581584226437,0.726370211040786,0.6574954114224316,0.7387212185287398
train,14,14,field,False,1.0,0.6472187981577509,0.6136994728150609,0.6644536036261561,0.6541473645594523,0.70343258509065,0.655484637113178,0.6157950629818502,0.506447441844774,0.4372976642014422,0.4264345590266518,0.4149145663718179,0.4157502970860817,0.38227914317957645,0.37526158481157335,0.39831198035396814,0.21949975922011844,0.3760832174287187
train,15,15,make,True,1.0,0.6484862634198663,0.5788355107779767,0.5788355107779767,0.5788355107779767,0.7029849831189742,0.7103697850221679,0.7636435957331701,0.7573573339989829,0.7290668196298664,0.6742828013022515,0.6302155833428397,0.5886497923034602,0.5572616940694235,0.5795368248305038,0.6264656117253882,0.5008165737406532,0.5919124545908389
train,16,16,dress,False,1.0,0.04298962228246884,0.04298962228246884,0.04298962228246884,0.04298962228246884,0.4861061591854859,0.48081205234216917,0.46103857309003765,0.48762819794505813,0.5348656433096839,0.5179327127398867,0.5259928085816024,0.547287177702615,0.5371319637736749,0.5177184277406445,0.48918898691548707,0.23115429115616898,0.4871227972059574
train,17,17,strike,False,1.0,0.5082386825185625,0.5037248567972099,0.5037248567972099,0.5037248567972099,0.5815855185314108,0.5235949169083945,0.528258792279686,0.5270604128992505,0.5834408858875271,0.5097700660337471,0.44499383843305323,0.43894538841605923,0.4389970810936273,0.4928130032173986,0.5168106165454028,0.1886236280651469,0.46923089315312927
train,18,18,head,False,1.0,0.8098613269109008,0.6754077880207792,0.6817196364200293,0.6817196364200293,0.84168090284153,0.7825124193045095,0.7899322088386395,0.7457519889083569,0.6792143253728875,0.5910585735504538,0.5245736665615973,0.46692771366948355,0.4000247337752937,0.3737911853837593,0.4419571843107163,0.34683262202269743,0.4048136598869103
train,19,19,flux,False,1.0,0.5580745521859485,0.6878205826263841,0.6978189103878658,0.7080807693276133,0.8732534733628252,0.764758543581222,0.7381685436351391,0.6854375750385522,0.6331961034145566,0.571085860291514,0.5311670052008941,0.41623429415575247,0.37461390444390824,0.3799712111225485,0.43500493346180213,0.301017372783568,0.393612762310936
train,20,20,hold,False,1.0,0.49155966937463563,0.5713991355612905,0.5713991355612905,0.5713991355612905,0.8633745635917169,0.8381725441770391,0.7836925888723371,0.7261249966144855,0.6249643711513468,0.5040357172370923,0.48168163481684373,0.41554961094053433,0.4182283345583574,0.4077998267620606,0.4306223297050114,0.5121678773771179,0.4506187460389927
train,21,21,line,True,1.0,0.6928260808460487,0.7617570123820997,0.7626245199132563,0.7626245199132563,0.8311073397389308,0.8065814221012707,0.7933898395623615,0.7701004966420567,0.7388039335099714,0.7085083959400434,0.6770775379044064,0.6714484245027702,0.6560638953015766,0.6529872859756571,0.6697735996062427,0.6364625937775127,0.6735929198752508
train,22,22,create,True,1.0,0.5143087224797482,0.6081814603387615,0.5987507546673665,0.5987507546673665,0.6650032911475627,0.6352690861541607,0.6018775117705363,0.6232538397493883,0.5814933758943541,0.5779619696723363,0.5804607999175676,0.5949034444847849,0.558282319026656,0.5574697576664761,0.6208586049319477,0.48338438812439083,0.5821612976680747
train,23,23,action,True,1.0,0.5898126724443118,0.6226284361957567,0.6721141665463812,0.6863017604059455,0.8160461480027533,0.8240944046154215,0.7846705095286691,0.7060858639823109,0.6944093009998658,0.6745646987101264,0.6682102494643812,0.6019523656388138,0.6035512717001414,0.5973485814686139,0.6403980574021484,0.5893865590706278,0.6297409137616722
train,24,24,spill,False,1.0,0.5325628799810908,0.5705247392268638,0.5705247392268638,0.5705247392268638,0.5904789269908238,0.6169354975355715,0.6250694421327019,0.6172694008276886,0.6473635941801751,0.6279422505579078,0.6296933578256197,0.5876335745275652,0.47225800779435134,0.4887819769522328,0.5147487471055663,0.18983105805002312,0.48029941549872335
train,25,25,beat,False,1.0,0.33837135962562587,0.17444361736946504,0.17444361736946504,0.17444361736946504,0.8356449074007577,0.7854205210953009,0.7339724780051149,0.6871549802797214,0.6736558366714163,0.6164504351733628,0.6024789056838551,0.6017672657465687,0.541308081430254,0.5496913649049202,0.6000320386006697,0.4832801579407744,0.5730616325627821
